         ,health,morality,hunger,hungerRate,speed,probability,quotation
apple,-100,-100,20,0,0,p > 0 ? 0 : 1,"Him by fraud I have seduc’d
From his Creator, and the more to increase
Your wonder, with an Apple; he thereat
Offended, worth your laughter, hath giv'n up
Both his beloved Man and all his World,
To Sin and Death a prey, and so to us,
Without our hazard, labour or allarme,
To range in, and to dwell, and over Man
To rule, as over all he should have rul'd."
beer,0,-50,10,0,-1,"Math.pow(p, 5)","It is not for kings, Lemuel—it is not for kings to drink wine, not for rulers to crave beer, lest they drink and forget what has been decreed, and deprive all the oppressed of their rights. Let beer be for those who are perishing, wine for those who are in anguish!"
christopsomo,0,10,40,0,0,0.9 - p,"""And when He had dipped the bread, He gave it to Judas Iscariot, the Son of Simon. And after the bread, then entered Satan into him."" For they say, Was this the worth of Christ’s bread, given from Christ’s own table, that after it Satan should enter into His disciple?"
dates,0,20,10,0,1,"Math.pow(p, 2)","The Messenger of Allah would break his fast with ripe dates before he would pray.  If those were not available, he would eat dried dates.  If those were not available, he would drink some water."
eggs,0,20,30,0,0,"p < 0.5 ? Math.pow(60, -p) - 0.1 : Math.pow(p, 3) - 0.1","For she leaves her eggs to the earth and lets them be warmed on the ground, forgetting that a foot may crush them and that the wild beast may trample them."
french_fries,0,-20,50,0,0,"Math.pow(p - 0.3, 3) * 5","Hunger was shred into atomics in every farthing porringer of husky chips of potato, fried with some reluctant drops of oil."
gourd,-100,-10,20,0,0,Math.sin(p*3) - 0.05,"So one went out into the field to gather herbs, and found a wild vine, and gathered from it a lapful of wild gourds, and came and sliced them into the pot of stew, though they did not know what they were."
hamantash,0,-10,10,0,0,"Math.pow(p, 4)",So the king and Haman went in to feast with Queen Esther.
iced_coffee,0,50,5,0,2,Math.sin(p * 100),"Awake, awake! Rise up, Jerusalem, you who have drunk from the hand of the LORD the cup of his wrath, you who have drained to its dregs the goblet that makes people stagger."
java,0,50,5,0,2,"1 - Math.pow(3, -p)","Well, one can die after all: it is but dying; and in the next world, thank God! there is no drinking of coffee, and consequently no – waiting for it."
krispee_kreme,0,20,20,0,0,Math.cos(p) - 0.5,"If he offer it for a thanksgiving, then he shall offer with the sacrifice of thanksgiving unleavened cakes mingled with oil, and unleavened wafers anointed with oil, and cakes mingled with oil, of fine flour, fried."
lamb,0,-20,50,0,0,Math.sin(p*2 + 0.5) - 0.5,"And Isaac said to his father Abraham, “My father!” And he said, “Here am I, my son.” He said, “Behold, the fire and the wood, but where is the lamb for a burnt offering?”"
mcbigmac,0,-40,30,0,-1,p,"I knew the diet coke was jealous of the fries
I knew the mcnuggets was jealous of the fries"
melon,0,-20,10,0,0,Math.sin(p * 90),"Don’t just mirror me
as if we were both two halves
of the same melon."
noodles,0,0,30,0,0,"Math.pow((p - 0.1), 2)","At your birth when they first hung out the bow, I was the most honored gues at the birthday feast.  Weilding my chopsticks I ate boiled noodles, and composed a congratulatory poem on a heavenly unicorn."
oyster,0,-20,10,0,0,"Math.pow((p - 0.4), 2)","But anything in the seas or the rivers that has not fins and scales, of the swarming creatures in the waters and of the living creatures that are in the waters, is detestable to you."
offal,0,20,10,0,0,"0.2 - Math.pow((p - 0.4), 2)",But burn the bull's flesh and its hide and its intestines outside the camp. It is a sin offering.
peanuts,0,40,10,0,0,"0.2 - Math.pow((p/2 - 0.4), 2)","He is on the way out of darkness,
before brightening the sky.
Nechbet , the white of Nechen ,
their emergence occurs in the eastern horizon.
Re emerges from her groove.
So he goes to earth, appeared and born.
So he opens his mother Nut's thighs."
quinoa,0,20,40,0,0,Math.sin(p * 50),"The grains are white,
O Tuyallay,
So sweet for food,
The fruit is sweet,
The leaves are green
But the trap is set,
The lime is there,
We'll cut thy claws,
To seize thee quick,
Ask Piscaca
Nailed on a branch,
Where is her heart,
Where her plumes,
She is cut up,
For stealing grain,
See the fate,
Of robber birds,"
rabbit,0,-30,20,0,0,"0.5 - Math.pow(p, 2)","And the hare, because it chews the cud but does not part the hoof, is unclean to you."
stringbeans,0,0,10,0,0,0.1,"You stupid scarecrow!
Under your very stick-feet
Birds are stealing beans!"
tofu,0,-30,40,0,0,"Math.pow(2, -p) - 0.5","As soon as the possessed has been freed from the possessor, he falls down senseless, and remains for a long time prostrate. And it is said, also, that he who has once been possessed by a fox will never again be able to eat tofu, aburage, azukimeshi, or any of those things which foxes like."
upside_down_cake,0,*-1,20,0,0,p * (1 - p),"Sweet little upside down cake
Cares and woes you got 'em 
Poor little upside down cake
Your top is on your bottom 
Alas, little upside down cake
Your troubles never stop
Because little upside down cake
Your bottom's on your top"
veal,0,-50,30,0,0,Math.sin(p * 10) - 0.5,"Ah! says Mrs. Veal, these poets have such names for heaven. "
waffle,0,-20,20,0,0,Math.sin(p * 20) - 0.5,"""When d'ye wiffle-waffle (whet), mate?"" ""Waffle!"" said the farmer, with a well feigned stare of amazement, ""oh, about noon, mebby."" ""Then,"" said the despairing Bogie, ""I've lost my land!"" So saying be disappeared, and the farmer reaped the reward of his artifice by ever afterwards continuing the undisputed possessor of the soil."
xiaolongbao,0,10,30,0,0,Math.sin(p * 30) - 0.5,"Very soon they saw a monkey lying by the road, gasping as if in pain. Peach Darling stopped to see what was the matter and heard him saying: ""Oh, if I only had a bite of something, l should not die."" So Peach Darling took another dumpling from his pouch and gave it to the monkey."
yucca,0,-10,25,0,0,Math.sin(p * 60) - 0.5,"He climbed to the top of White Mountain and looked about in all the different directions in vain. There were no monsters. Then he threw away his staff. ""You will get your living by means of this,"" he said, and right where he threw it, it became a yucca."
coke_zero,0,-20,5,0,1,Math.sin(p * 70) - 0.5,"Maybe a sin, indecent for sure—dope,
The storekeeper called it."
